carat,cut,color,clarity,depth,table,price,x,y,z
2.01,Premium,J,SI1,60.5,59,12369,8.12,8.01,4.88
2.14,Premium,I,VS2,62.3,58,17416,8.22,8.16,5.1
0.3,Ideal,E,VS1,60.8,57,911,4.36,4.33,2.64
0.51,Ideal,F,VS2,62.3,56,1711,5.12,5.08,3.18
0.7,Ideal,E,SI2,62.3,58,2436,5.66,5.7,3.54
2.01,Ideal,E,SI2,62.2,57,17849,8.09,8.04,5.02
0.3,Good,F,VS2,63.4,59,565,4.23,4.25,2.69
1.01,Very Good,E,SI1,59.9,59,5224,6.46,6.49,3.88
0.32,Ideal,I,VVS2,61.2,56,548,4.41,4.45,2.71
0.31,Good,E,SI1,63.1,57,544,4.3,4.35,2.73
0.7,Very Good,F,VS1,62,57,2808,5.64,5.71,3.52
0.51,Ideal,E,VVS2,61.7,57,2209,5.11,5.14,3.16
0.72,Premium,D,SI1,60.4,59,2691,5.77,5.72,3.47
0.52,Ideal,J,VS2,61.6,57,1141,5.16,5.19,3.19
0.4,Premium,D,SI1,62.5,61,924,4.69,4.66,2.92
0.31,Ideal,E,VS2,62,55,872,4.37,4.34,2.7
1,Premium,H,SI1,61.3,60,4788,6.38,6.35,3.9
0.3,Premium,G,IF,61.6,60,956,4.32,4.29,2.65
1.01,Good,G,SI2,63.8,53,4185,6.41,6.31,4.06
1.08,Ideal,F,SI1,62.7,57,5327,6.52,6.49,4.08
0.7,Very Good,G,VVS1,63.3,57,3037,5.59,5.63,3.55
0.71,Premium,E,VS2,61,60,2858,5.76,5.69,3.49
0.91,Very Good,G,SI2,63.3,57,3282,6.12,6.08,3.86
0.31,Ideal,D,VS2,62.5,57,942,4.36,4.31,2.71
0.56,Ideal,D,VS2,61.6,56,2066,5.31,5.27,3.26
0.77,Good,I,SI1,62.3,55,2264,5.88,5.93,3.68
1.15,Premium,E,SI2,61.8,56,4701,6.75,6.7,4.15
1.09,Ideal,D,VVS2,61.3,57,12185,6.61,6.66,4.07
0.37,Ideal,F,SI1,62.4,54,616,4.6,4.63,2.88
0.54,Ideal,H,SI2,61.6,56,1073,5.25,5.28,3.24
0.53,Very Good,G,VS1,63.4,56,1727,5.15,5.1,3.25
0.55,Ideal,I,SI1,61.3,56,1367,5.29,5.34,3.26
0.3,Good,E,SI1,63.8,55,526,4.25,4.28,2.72
0.36,Very Good,E,VS2,62.1,59,789,4.55,4.59,2.84
2.03,Very Good,J,VVS2,63.2,60,16043,7.94,7.88,5
1.22,Premium,I,SI2,62.3,58,4919,6.85,6.8,4.25
1.05,Very Good,E,VS1,61.6,58,7521,6.53,6.56,4.03
0.72,Fair,F,VS2,55.4,64,2724,6.06,5.97,3.34
0.41,Very Good,H,VVS2,62,56,873,4.77,4.81,2.97
0.42,Very Good,E,VS2,61.9,59,958,4.75,4.81,2.96
0.25,Very Good,D,VS1,60,63,388,4.05,4.08,2.44
1.12,Very Good,E,SI2,60.9,63,3864,6.65,6.59,4.03
0.32,Premium,E,SI2,61.2,58,449,4.39,4.44,2.7
0.24,Very Good,G,VVS1,61.7,56,504,3.98,4.02,2.46
0.61,Good,D,SI1,59,57,1759,5.54,5.57,3.28
1.06,Very Good,E,IF,62.7,58,11518,6.48,6.54,4.08
1.86,Ideal,J,VS2,62.6,56,10312,7.95,7.87,4.95
2.02,Ideal,H,SI1,62,56,17392,8.06,8.13,5.02
0.3,Ideal,G,VVS1,61.7,55,789,4.32,4.34,2.67
0.41,Premium,E,SI1,62.4,58,755,4.75,4.77,2.97
0.4,Ideal,E,VS1,61.2,55,940,4.76,4.79,2.92
0.76,Ideal,D,SI2,62.2,57,2682,5.83,5.85,3.63
0.32,Ideal,D,VS2,62.6,57,758,4.37,4.41,2.75
0.31,Ideal,G,VS2,61.7,57,698,4.36,4.33,2.68
1.51,Very Good,I,VS1,63,59,9343,7.28,7.3,4.59
0.53,Very Good,E,VVS2,60.7,59,2297,5.19,5.28,3.18
1.02,Premium,G,SI1,60.8,58,4718,6.5,6.46,3.94
0.4,Very Good,F,SI1,62.1,60,756,4.66,4.7,2.91
1.52,Ideal,D,VS2,61.6,57,12392,7.42,7.35,4.55
0.41,Ideal,E,VS2,62.3,56,935,4.74,4.77,2.96
1.07,Good,F,VS2,57.6,60,6828,6.83,6.79,3.92
0.8,Very Good,F,VVS2,62.7,58,4126,5.88,5.92,3.7
0.33,Ideal,I,SI1,61.5,57,445,4.46,4.49,2.75
0.39,Ideal,F,VS1,62.3,57,1024,4.69,4.65,2.91
1.26,Ideal,H,SI1,61.6,56,8110,6.88,6.93,4.26
0.55,Ideal,D,VS1,61.5,56,2020,5.28,5.26,3.24
0.25,Very Good,E,VVS2,63,55,575,4,4.03,2.53
1.09,Premium,H,SI2,61.7,60,4578,6.59,6.57,4.06
1.12,Ideal,H,SI1,61.6,56,6962,6.64,6.68,4.11
0.62,Ideal,H,IF,60.5,58,2501,5.48,5.52,3.33
2.01,Good,E,SI1,63.8,55,15093,8,7.96,5.09
0.9,Good,F,VS2,63.6,59,4234,6.11,6.06,3.87
0.74,Very Good,E,VS2,61.8,58,3180,5.79,5.82,3.59
0.72,Ideal,E,SI1,60.8,55,2869,5.77,5.84,3.53
0.32,Ideal,G,VVS1,62.3,56,796,4.38,4.41,2.73
0.5,Premium,D,SI1,60.3,58,1433,5.12,5.1,3.08
0.41,Premium,G,VS1,61.9,60,899,4.7,4.76,2.93
0.34,Premium,D,SI1,59.7,59,803,4.57,4.54,2.72
0.57,Ideal,E,VVS2,62.1,54.6,2442,5.31,5.35,3.31
0.9,Ideal,G,VVS1,61.5,56,6680,6.22,6.24,3.83
1.28,Very Good,I,SI2,62.6,58,5654,6.87,6.89,4.32
0.4,Ideal,I,VVS2,62.2,55,939,4.72,4.76,2.95
0.51,Ideal,E,VS2,61.9,56,1781,5.16,5.12,3.18
0.42,Premium,G,VS1,60.6,58,984,4.95,4.82,2.96
0.3,Premium,F,IF,61.6,58,1013,4.35,4.32,2.67
1.11,Ideal,J,VS1,61.7,57,4854,6.67,6.72,4.13
0.91,Premium,E,SI2,60,60,3379,6.28,6.23,3.75
1.42,Ideal,F,VVS1,60.8,56,18682,7.25,7.32,4.43
0.26,Ideal,F,VS1,62.3,56,580,4.1,4.08,2.55
0.3,Good,E,VVS2,63.2,59,684,4.27,4.28,2.7
0.73,Very Good,D,VS1,62.2,56,3856,5.72,5.75,3.57
1,Premium,H,SI1,62.1,56,4788,6.48,6.38,3.99
1.01,Premium,G,SI1,60,58,5204,6.54,6.5,3.91
0.35,Ideal,F,VVS2,62.1,56,956,4.56,4.52,2.82
0.4,Very Good,D,VS2,62.3,60,850,4.66,4.68,2.91
0.26,Premium,H,VS1,62.3,59,491,4.1,4.06,2.54
0.42,Premium,F,VS1,59.8,57,985,4.89,4.85,2.91
0.41,Very Good,E,SI1,62.8,59,755,4.74,4.75,2.98
0.7,Ideal,I,SI2,62.1,57,2079,5.66,5.71,3.53
2.14,Ideal,H,SI2,61.9,57,12400,8.34,8.28,5.14
0.55,Good,E,VS2,59.8,61,1695,5.29,5.32,3.17
0.73,Ideal,I,VS2,61.7,55,2453,5.79,5.82,3.58
1.15,Premium,H,SI2,61.6,60,4743,6.72,6.75,4.15
0.59,Premium,E,VS2,62.3,55,1883,5.43,5.39,3.37
1.1,Premium,E,SI1,60.7,55,6098,6.75,6.66,4.07
1.02,Very Good,G,VS1,62,59,6126,6.39,6.45,3.98
0.31,Ideal,E,VVS2,61.6,57,1046,4.37,4.33,2.68
0.31,Very Good,F,VS2,61.4,62,625,4.32,4.34,2.66
0.36,Premium,H,VS1,60.5,59,810,4.63,4.6,2.79
0.33,Very Good,H,VS1,59,62,540,4.49,4.52,2.66
0.91,Ideal,E,SI2,61.5,56,3968,6.2,6.23,3.82
0.5,Good,E,SI1,63.3,59,1316,4.99,5.03,3.17
1,Premium,D,VS1,61,58,7280,6.46,6.42,3.93
1.01,Very Good,G,SI2,62,58,3682,6.41,6.46,3.99
0.91,Ideal,G,SI2,62.2,57,3425,6.18,6.24,3.86
0.72,Ideal,E,VS2,62.8,57,2835,5.71,5.73,3.59
0.32,Ideal,H,VVS2,61.9,55,645,4.37,4.39,2.71
0.67,Good,F,VS1,62.3,62,2293,5.5,5.59,3.46
1.12,Premium,H,SI2,62,57,4641,6.68,6.61,4.12
0.85,Good,J,SI1,59.2,64,2163,6.13,6.17,3.64
0.6,Premium,E,VVS2,62.4,61,2393,5.36,5.31,3.33
1.3,Very Good,J,VS1,63.2,57,4994,6.91,6.86,4.35
1.51,Good,F,SI2,63.4,57,9301,7.25,7.29,4.61
0.5,Ideal,H,VVS2,60.3,58,1608,5.14,5.21,3.12
0.3,Very Good,G,VVS1,61.1,57,680,4.33,4.37,2.66
0.38,Ideal,H,VS1,61.7,55,955,4.65,4.7,2.89
1.55,Ideal,F,SI1,62.1,54,12373,7.42,7.45,4.61
1.2,Premium,H,VS2,61.4,59,6333,6.79,6.75,4.16
0.32,Ideal,E,VS2,62.6,53,900,4.38,4.37,2.74
1.5,Good,F,SI2,59.7,61,8181,7.39,7.44,4.43
0.31,Ideal,D,SI1,62.5,53,684,4.37,4.34,2.72
0.59,Very Good,D,SI1,62.9,58,1621,5.31,5.34,3.35
0.3,Ideal,E,VS1,62.1,58,694,4.26,4.28,2.65
0.51,Good,H,SI1,63.6,57,1116,5.09,5.04,3.22
0.3,Good,J,SI1,64,55,439,4.28,4.25,2.73
0.25,Good,E,VVS2,63.1,56,576,4,4.05,2.54
1.06,Ideal,I,SI2,62.4,57,3975,6.48,6.54,4.06
0.34,Very Good,G,SI2,62.8,59,447,4.45,4.47,2.8
0.9,Very Good,G,VS1,61.5,56,5148,6.2,6.23,3.82
0.72,Premium,D,SI1,61.4,59,2903,5.79,5.71,3.53
0.34,Premium,G,IF,60.5,58,939,4.52,4.47,2.72
0.28,Very Good,E,VVS2,64,54,572,4.11,4.17,2.65
0.73,Premium,F,SI1,61.9,60,2504,5.78,5.81,3.59
0.41,Ideal,F,VS2,60,56,1107,4.88,4.82,2.91
0.38,Good,D,VS2,64.1,55,809,4.58,4.62,2.95
0.56,Ideal,D,SI1,62.3,56,1814,5.33,5.26,3.3
1.01,Premium,G,VVS2,61.3,61,6470,6.47,6.32,3.92
0.53,Ideal,E,SI1,61.4,56,1564,5.2,5.26,3.21
0.33,Ideal,E,SI1,61.9,57,579,4.43,4.46,2.75
0.41,Premium,F,VS1,59.9,58,1076,4.84,4.81,2.89
0.43,Ideal,D,SI2,62.6,56,919,4.88,4.84,3.04
0.51,Very Good,F,VVS2,60.8,56,2054,5.18,5.21,3.16
0.3,Ideal,D,VS1,61,58,601,4.3,4.36,2.64
0.36,Good,E,SI1,63.1,58,631,4.49,4.54,2.85
1.57,Very Good,J,VS2,62.6,59,7832,7.39,7.43,4.64
0.44,Premium,E,VVS2,60,59,1334,4.99,4.95,2.98
0.43,Premium,D,SI2,60.7,58,919,4.91,4.85,2.96
0.33,Ideal,F,VS2,61.6,55,666,4.45,4.48,2.75
1.15,Premium,I,SI2,62.6,57,4347,6.73,6.69,4.2
0.9,Ideal,H,VS2,62.7,57,4072,6.13,6.15,3.85
0.7,Fair,G,I1,67.5,55,1069,5.59,5.37,3.71
1.5,Very Good,J,VS2,62.4,60,7402,7.21,7.32,4.53
1,Good,E,SI1,61.6,62,5784,6.35,6.42,3.93
0.71,Ideal,F,SI1,61.2,55,3421,5.76,5.8,3.54
1.7,Premium,E,SI1,58.2,62,10860,7.86,7.81,4.56
0.54,Very Good,I,IF,58.8,61,1708,5.29,5.35,3.13
0.39,Premium,E,VS2,61.4,58,951,4.73,4.68,2.89
0.54,Ideal,H,VS1,61.3,55.9,1633,5.23,5.27,3.21
0.35,Ideal,D,VS1,63,57,990,4.51,4.48,2.83
1.4,Ideal,J,SI1,62.7,57,6139,7.13,7.09,4.46
0.7,Very Good,E,VVS1,62.5,56,3724,5.63,5.7,3.54
0.57,Fair,F,VVS2,65.2,56.2,1902,5.19,5.23,3.4
0.3,Very Good,G,VVS2,63.2,57,878,4.27,4.24,2.69
0.9,Good,E,SI1,60.4,58,4147,6.12,6.24,3.73
0.38,Very Good,I,SI1,60.2,60,581,4.65,4.68,2.81
0.3,Ideal,E,SI1,61.9,57,675,4.33,4.29,2.67
0.55,Ideal,F,VVS1,61.2,54,3032,5.35,5.3,3.26
0.34,Premium,H,VS2,59,59,689,4.61,4.55,2.7
0.32,Premium,G,SI1,60.5,59,612,4.43,4.39,2.67
0.5,Premium,E,VS2,61.4,58,1624,5.07,5.12,3.13
0.53,Good,D,VS1,60.2,56,1775,5.22,5.28,3.16
0.41,Premium,E,SI1,61.2,59,705,4.78,4.82,2.94
1.03,Premium,E,VS2,62.5,59,6072,6.42,6.44,4.02
1.01,Very Good,E,SI1,63.4,55,6501,6.38,6.42,4.06
0.91,Very Good,D,SI2,62.7,59,3298,6.16,6.22,3.88
1.51,Very Good,I,VS1,63.1,53,9513,7.34,7.25,4.6
1.2,Premium,I,SI2,61.5,58,4838,6.82,6.77,4.18
0.42,Premium,E,SI1,61.5,58,722,4.78,4.84,2.96
0.71,Ideal,I,VS1,61.3,57,2965,5.73,5.76,3.52
0.5,Good,F,VS2,63.3,60,1395,4.99,5.03,3.17
0.7,Ideal,E,VS2,62.1,55,2777,5.7,5.67,3.53
0.72,Premium,J,VS2,61.4,58,1944,5.76,5.74,3.53
0.31,Very Good,I,SI1,62.8,60,418,4.29,4.31,2.7
0.33,Ideal,G,VS1,62.1,56,666,4.4,4.42,2.74
1.6,Premium,F,SI1,60.5,58,12343,7.62,7.53,4.58
1.5,Fair,F,SI1,64.6,60,11154,7.18,7.1,4.61
0.32,Ideal,D,VVS2,61.7,57,834,4.39,4.42,2.72
1.01,Ideal,F,VS2,61.2,58,7409,6.45,6.43,3.94
0.38,Ideal,D,VS1,62.4,56,1095,4.64,4.68,2.91
0.31,Premium,G,VVS2,60,62,907,4.44,4.4,2.65
0.3,Good,D,VVS2,61.6,63,719,4.23,4.27,2.62
1.57,Ideal,H,SI1,62.4,56,11068,7.42,7.45,4.64
0.41,Ideal,G,VS2,62.7,55,1061,4.79,4.75,2.99
1.03,Ideal,D,SI1,61.3,56,6610,6.48,6.54,3.99
0.72,Ideal,H,VVS1,62.2,57,3075,5.72,5.75,3.57
0.9,Fair,D,SI2,64.6,59,3847,6.04,6.01,3.89
1.09,Very Good,D,SI2,62.2,59,4598,6.46,6.49,4.03
1.03,Premium,H,VS2,63,59,5364,6.47,6.36,4.04
1.75,Premium,E,SI2,60.9,59,12238,7.78,7.75,4.73
0.3,Ideal,H,IF,60.8,56,789,4.35,4.37,2.65
0.5,Fair,F,I1,71,57,613,4.87,4.79,3.43
0.4,Ideal,E,VS2,61.1,56,975,4.77,4.75,2.91
0.3,Premium,F,SI2,61.3,58,506,4.33,4.28,2.64
0.25,Very Good,E,VVS2,62.2,58,548,4.03,4.11,2.53
0.3,Very Good,G,SI2,58.1,61,394,4.41,4.47,2.58
1.01,Fair,H,VS1,67.1,59,3676,6.16,6.09,4.11
0.7,Good,E,VS1,57.2,59,2826,5.94,5.88,3.38
1.03,Ideal,G,VS1,60.8,57,7587,6.55,6.57,3.99
1,Premium,G,VS2,63,58,6048,6.4,6.33,4.01
1.09,Premium,H,SI2,62.5,58,4639,6.61,6.55,4.11
1.26,Ideal,H,SI1,61.7,58,6476,6.95,6.9,4.27
1.6,Ideal,G,IF,59.8,54,16547,7.75,7.63,4.6
0.46,Very Good,D,VVS1,61.6,59,1993,4.92,4.97,3.05
0.53,Ideal,G,VVS2,62.3,54,1797,5.18,5.2,3.24
0.54,Ideal,G,SI2,61.8,54,1133,5.24,5.28,3.25
0.71,Premium,D,SI2,61.7,59,2768,5.71,5.67,3.51
1.51,Very Good,G,VS2,62.8,57,11923,7.25,7.3,4.57
1.2,Premium,H,SI2,61.4,58,5779,6.81,6.77,4.17
0.42,Ideal,F,VVS2,61.1,57,1221,4.84,4.82,2.95
0.91,Ideal,E,SI1,61.9,55,5458,6.21,6.23,3.85
0.53,Ideal,D,VS2,61.4,55,1857,5.21,5.25,3.21
0.44,Premium,E,SI1,62.3,59,810,4.84,4.88,3.03
0.3,Premium,G,VS1,61.4,58,776,4.35,4.32,2.66
0.56,Ideal,E,VS2,62.8,57,1699,5.21,5.23,3.28
0.73,Ideal,E,VS1,61.7,57,3758,5.77,5.8,3.57
1.01,Fair,F,SI2,67.3,62,3597,6.09,6.03,4.08
0.91,Good,E,I1,57.7,63,2225,6.3,6.35,3.65
0.7,Premium,F,SI1,61.6,58,2441,5.7,5.73,3.52
0.71,Premium,F,VS1,59.2,58,2839,5.87,5.82,3.46
0.53,Ideal,H,SI2,61.9,54,1020,5.21,5.23,3.23
0.9,Ideal,F,SI2,61.5,56,4198,6.24,6.18,3.82
0.41,Ideal,G,VS1,60.8,56,961,4.82,4.79,2.92
2,Very Good,I,SI1,63.6,57,14057,7.9,7.99,5.05
0.91,Very Good,E,SI2,63,56,3772,6.12,6.16,3.87
0.31,Premium,G,VS1,59.9,59,617,4.44,4.41,2.65
0.4,Very Good,E,SI1,62,55,737,4.68,4.74,2.92
1.01,Good,F,SI2,63.1,58,3768,6.34,6.38,4.01
0.37,Premium,I,VVS1,62.4,58,681,4.55,4.58,2.85
0.43,Ideal,G,VVS1,60.5,57,1264,4.92,4.86,2.96
1.42,Premium,E,SI1,61.1,62,9447,7.2,7.17,4.39
0.26,Very Good,F,VVS1,59,61,547,4.17,4.2,2.47
0.24,Very Good,E,VVS1,63.5,57,492,3.94,3.96,2.51
1.61,Very Good,G,SI1,62.6,56,12028,7.44,7.54,4.69
0.36,Ideal,G,VVS2,62.3,56,1053,4.56,4.53,2.83
1.06,Ideal,E,SI1,58.8,57,5877,6.71,6.66,3.93
1.72,Premium,H,VS2,61.3,59,13486,7.69,7.72,4.72
0.77,Ideal,F,SI1,61.7,56,3702,5.85,5.91,3.63
1.02,Very Good,E,VS1,60.1,59,7779,6.48,6.53,3.91
0.3,Ideal,E,VS2,61.8,56,844,4.34,4.3,2.67
1.08,Ideal,D,VS2,61.9,58,8481,6.54,6.57,4.06
0.41,Very Good,G,VS1,60.5,57,899,4.81,4.85,2.92
0.42,Very Good,E,VS1,62.9,57,1005,4.75,4.79,3
0.9,Good,H,SI2,64.3,58,3114,5.97,6.03,3.86
1.01,Very Good,G,VS1,60.7,63,6353,6.4,6.38,3.88
0.33,Ideal,E,VS2,62.3,57,928,4.43,4.37,2.74
1.04,Ideal,D,VVS2,60.9,57,11511,6.54,6.6,4
0.3,Ideal,E,VS1,61.9,56,670,4.28,4.31,2.66
1.64,Ideal,F,SI2,61.4,57,10733,7.55,7.59,4.65
1.51,Ideal,E,SI2,60.5,57,10935,7.38,7.42,4.48
0.32,Ideal,F,VVS1,60.7,56,905,4.45,4.43,2.7
0.5,Ideal,D,VS2,62.6,56,1752,5.05,5.08,3.17
0.3,Premium,G,VVS2,62,60,878,4.33,4.25,2.66
0.58,Premium,E,SI1,62.7,58,1641,5.33,5.32,3.34
1.51,Premium,G,SI1,60.3,59,9710,7.39,7.44,4.47
0.3,Premium,E,VS2,60,60,658,4.36,4.4,2.63
1.12,Very Good,J,SI2,58.5,60,4066,6.83,6.89,4.01
0.33,Premium,I,VVS1,61.9,60,780,4.44,4.41,2.74
0.35,Very Good,D,VS1,59.9,56,846,4.61,4.64,2.77
0.79,Very Good,E,SI1,60.4,59,3077,5.97,5.99,3.61
1.52,Ideal,G,VS2,61.1,57,12840,7.39,7.45,4.53
0.7,Premium,H,VS1,62.3,60,2333,5.65,5.61,3.51
0.51,Good,F,SI1,63.6,56,1312,5.11,5.08,3.24
1.75,Ideal,J,VVS2,62,55,11609,7.7,7.73,4.78
0.36,Ideal,I,VS2,61.9,56,556,4.54,4.57,2.82
1.14,Ideal,G,VS1,61.8,57,9090,6.67,6.7,4.12
1.02,Ideal,F,VS2,62.8,57,7037,6.41,6.36,4.01
1.06,Fair,J,SI2,61,66,2992,6.54,6.35,3.93
0.71,Ideal,I,SI1,61,56,2319,5.75,5.78,3.52
0.33,Ideal,G,SI2,62.9,55,557,4.46,4.41,2.79
1,Very Good,E,VS2,63.8,59,6315,6.25,6.32,4.01
0.35,Ideal,I,IF,62.7,55,778,4.51,4.55,2.84
1,Premium,F,SI2,61.3,61,4452,6.39,6.36,3.91
0.34,Premium,G,VS2,60.2,58,596,4.51,4.56,2.73
0.33,Premium,G,VS1,61.4,59,854,4.49,4.43,2.74
0.31,Premium,H,VVS2,61.9,58,802,4.36,4.33,2.69
0.82,Ideal,E,SI2,60.9,56,3328,6.06,6.12,3.71
0.41,Premium,E,SI2,61.3,59,683,4.8,4.85,2.96
0.31,Premium,F,VS2,61.7,58,625,4.34,4.38,2.69
0.7,Very Good,F,VVS2,61.6,63,3275,5.65,5.69,3.49
1.01,Good,E,VS1,63.8,55,7528,6.32,6.41,4.06
0.35,Ideal,E,VS1,61.5,57,718,4.52,4.55,2.79
0.71,Good,E,SI2,57.5,58,1783,5.91,5.89,3.39
1.24,Fair,G,SI2,65.7,57,4058,6.72,6.68,4.4
0.3,Ideal,H,SI1,61.9,57,450,4.3,4.32,2.67
0.3,Ideal,E,VVS2,60.8,57,742,4.33,4.35,2.64
0.73,Ideal,E,SI1,60.6,54,2803,5.84,5.89,3.55
0.7,Good,I,SI1,58.5,61,2276,5.76,5.82,3.39
0.78,Ideal,I,VS1,61.9,56,3105,5.91,5.94,3.67
0.55,Ideal,D,VS2,61.5,56,1928,5.25,5.28,3.24
0.41,Ideal,J,SI2,62.5,54,731,4.78,4.79,2.99
0.5,Fair,E,VS1,56.1,64,1950,5.31,5.28,2.97
0.31,Ideal,G,VVS1,61.4,56,772,4.34,4.37,2.68
1.26,Very Good,H,VS2,63.1,58,5849,6.91,6.81,4.34
0.31,Good,E,SI1,63.4,55,544,4.32,4.35,2.75
1.32,Fair,F,VVS1,58,66,12648,7.31,7.28,4.23
0.32,Ideal,G,VVS1,62,57,1080,4.42,4.38,2.73
0.31,Premium,G,VS1,60.8,61,802,4.35,4.33,2.64
2.01,Very Good,H,SI2,63.4,58,12617,8.01,7.94,5.06
1.08,Ideal,G,VS1,62,55,6779,6.62,6.57,4.09
1.51,Ideal,H,SI2,62.1,57,8710,7.38,7.34,4.57
1.01,Premium,H,I1,58.4,60,2206,6.53,6.48,3.8
0.91,Fair,E,VS1,64.5,58,4770,6.14,6.1,3.95
2.11,Ideal,I,VS2,62.2,55,17712,8.2,8.26,5.12
1.14,Ideal,H,SI1,62.2,54,5763,6.69,6.74,4.18
0.77,Premium,G,VS2,61.3,60,2846,5.91,5.81,3.59
0.3,Ideal,H,VVS1,61.1,58,665,4.33,4.35,2.65
2.06,Good,I,VS2,60.2,64,15046,8.34,8.14,4.97
1,Premium,F,VVS2,59.9,60,8448,6.46,6.5,3.88
1.53,Premium,I,SI1,62.9,59,8911,7.36,7.32,4.62
0.93,Premium,E,SI2,62.9,57,3984,6.25,6.19,3.91
1,Very Good,F,VS1,62.9,56,6468,6.38,6.43,4.03
0.51,Ideal,F,VVS2,61.4,56,2025,5.16,5.17,3.17
1.09,Ideal,G,VS1,60.5,57,7078,6.69,6.73,4.06
0.41,Very Good,F,VS2,62.8,58,863,4.69,4.73,2.96
0.38,Premium,D,SI1,62.2,58,733,4.57,4.63,2.86
1.11,Ideal,F,VS2,61.8,56,9057,6.66,6.7,4.13
0.53,Very Good,G,VS1,60.9,56,1636,5.24,5.27,3.2
0.31,Ideal,D,VS1,61.6,55,713,4.3,4.33,2.66
0.5,Very Good,E,VS1,59,60,1806,5.19,5.22,3.07
0.34,Very Good,G,VS2,62.9,55,596,4.45,4.52,2.82
0.31,Ideal,D,SI1,61.1,56,732,4.38,4.36,2.67
0.53,Ideal,E,VVS2,60.5,57,2456,5.24,5.28,3.18
0.3,Ideal,E,VS2,62.1,55,658,4.3,4.33,2.68
1.01,Ideal,F,SI2,60.5,57,4416,6.49,6.53,3.94
1,Very Good,G,SI1,62.6,57,4413,6.31,6.37,3.97
0.52,Very Good,F,VS2,62.4,57,1607,5.12,5.13,3.2
1.01,Ideal,F,VS1,62.2,57,7240,6.48,6.39,4
0.3,Ideal,F,SI1,61.9,56,475,4.29,4.33,2.67
0.31,Good,D,SI1,63.5,58,571,4.27,4.3,2.72
